src,dst,,
0,1,ADBE,ADP
0,2,ADBE,AMD
0,17,ADBE,BIIB
0,20,ADBE,CDNS
0,21,ADBE,CDW
0,23,ADBE,CHKP
0,24,ADBE,CTAS
0,28,ADBE,CMCSA
0,39,ADBE,FTNT
0,45,ADBE,INTU
0,52,ADBE,LULU
0,53,ADBE,MAR
0,54,ADBE,MRVL
0,59,ADBE,MU
0,60,ADBE,MSFT
0,69,ADBE,ORCL
0,70,ADBE,ORLY
0,72,ADBE,PANW
0,78,ADBE,QCOM
0,83,ADBE,NOW
0,86,ADBE,SNPS
0,89,ADBE,TXN
0,96,ADBE,WBD
0,97,ADBE,WDAY
1,7,ADP,AMGN
1,14,ADP,ADSK
1,16,ADP,BKR
1,21,ADP,CDW
1,24,ADP,CTAS
1,25,ADP,CSCO
1,27,ADP,CTSH
1,39,ADP,FTNT
1,41,ADP,HON
1,42,ADP,IBM
1,43,ADP,IDXX
1,44,ADP,INTC
1,45,ADP,INTU
1,53,ADP,MAR
1,55,ADP,MA
1,66,ADP,NXPI
1,70,ADP,ORLY
1,73,ADP,PAYX
1,82,ADP,CRM
1,83,ADP,NOW
1,87,ADP,TTWO
1,92,ADP,TTD
1,93,ADP,VRSK
1,97,ADP,WDAY
2,15,AMD,AXON
2,20,AMD,CDNS
2,29,AMD,CPRT
2,33,AMD,DHR
2,36,AMD,EA
2,38,AMD,FAST
2,41,AMD,HON
2,42,AMD,IBM
2,50,AMD,LRCX
2,54,AMD,MRVL
2,66,AMD,NXPI
2,70,AMD,ORLY
2,78,AMD,QCOM
2,81,AMD,ROST
2,83,AMD,NOW
2,91,AMD,TMUS
2,95,AMD,V
2,97,AMD,WDAY
2,99,AMD,ZS
3,0,GOOGL,ADBE
3,1,GOOGL,ADP
3,2,GOOGL,AMD
3,6,GOOGL,AEP
3,7,GOOGL,AMGN
3,11,GOOGL,ASML
3,13,GOOGL,TEAM
3,18,GOOGL,BKNG
3,27,GOOGL,CTSH
3,29,GOOGL,CPRT
3,30,GOOGL,CSGP
3,31,GOOGL,COST
3,32,GOOGL,CSX
3,34,GOOGL,DXCM
3,36,GOOGL,EA
3,38,GOOGL,FAST
3,43,GOOGL,IDXX
3,46,GOOGL,ISRG
3,48,GOOGL,KLAC
3,50,GOOGL,LRCX
3,52,GOOGL,LULU
3,53,GOOGL,MAR
3,54,GOOGL,MRVL
3,57,GOOGL,META
3,60,GOOGL,MSFT
3,61,GOOGL,MSTR
3,62,GOOGL,MDLZ
3,70,GOOGL,ORLY
3,74,GOOGL,PAYC
3,75,GOOGL,PYPL
3,84,GOOGL,SHOP
3,88,GOOGL,TSLA
3,90,GOOGL,TMO
3,92,GOOGL,TTD
3,93,GOOGL,VRSK
3,97,GOOGL,WDAY
3,99,GOOGL,ZS
4,0,GOOG,ADBE
4,2,GOOG,AMD
4,3,GOOG,GOOGL
4,5,GOOG,AMZN
4,9,GOOG,AAPL
4,11,GOOG,ASML
4,12,GOOG,AZN
4,14,GOOG,ADSK
4,16,GOOG,BKR
4,17,GOOG,BIIB
4,18,GOOG,BKNG
4,19,GOOG,AVGO
4,23,GOOG,CHKP
4,25,GOOG,CSCO
4,26,GOOG,CCEP
4,29,GOOG,CPRT
4,32,GOOG,CSX
4,33,GOOG,DHR
4,34,GOOG,DXCM
4,39,GOOG,FTNT
4,42,GOOG,IBM
4,45,GOOG,INTU
4,49,GOOG,KHC
4,50,GOOG,LRCX
4,51,GOOG,LIN
4,52,GOOG,LULU
4,54,GOOG,MRVL
4,55,GOOG,MA
4,63,GOOG,MNST
4,66,GOOG,NXPI
4,68,GOOG,ON
4,69,GOOG,ORCL
4,71,GOOG,PCAR
4,72,GOOG,PANW
4,73,GOOG,PAYX
4,74,GOOG,PAYC
4,76,GOOG,PDD
4,78,GOOG,QCOM
4,79,GOOG,REGN
4,81,GOOG,ROST
4,82,GOOG,CRM
4,85,GOOG,SBUX
4,88,GOOG,TSLA
4,89,GOOG,TXN
4,91,GOOG,TMUS
4,92,GOOG,TTD
4,94,GOOG,VRTX
4,95,GOOG,V
4,99,GOOG,ZS
5,0,AMZN,ADBE
5,4,AMZN,GOOG
5,9,AMZN,AAPL
5,13,AMZN,TEAM
5,14,AMZN,ADSK
5,17,AMZN,BIIB
5,18,AMZN,BKNG
5,21,AMZN,CDW
5,23,AMZN,CHKP
5,29,AMZN,CPRT
5,30,AMZN,CSGP
5,39,AMZN,FTNT
5,41,AMZN,HON
5,42,AMZN,IBM
5,43,AMZN,IDXX
5,47,AMZN,KDP
5,52,AMZN,LULU
5,53,AMZN,MAR
5,54,AMZN,MRVL
5,55,AMZN,MA
5,56,AMZN,MELI
5,60,AMZN,MSFT
5,73,AMZN,PAYX
5,74,AMZN,PAYC
5,75,AMZN,PYPL
5,78,AMZN,QCOM
5,82,AMZN,CRM
5,83,AMZN,NOW
5,85,AMZN,SBUX
5,88,AMZN,TSLA
5,89,AMZN,TXN
